Id,repo,issue_id,type,actor,event,created_at,link_url,link_type,link_repo,link_issue_id
6658,request/request,437,0,,cross-referenced,2013-02-21 20:08:33,https://api.github.com/repos/request/request/issues/438,1,request/request,438
6654,request/request,442,0,,cross-referenced,2013-02-25 12:46:46,https://api.github.com/repos/request/request/issues/441,0,request/request,441
6647,request/request,450,0,,cross-referenced,2014-04-11 14:05:54,https://api.github.com/repos/request/request/issues/860,0,request/request,860
6648,request/request,450,0,,cross-referenced,2014-09-08 16:27:23,https://api.github.com/repos/request/request/issues/1058,1,request/request,1058
6649,request/request,450,0,,cross-referenced,2014-10-17 16:00:17,https://api.github.com/repos/request/request/issues/1184,1,request/request,1184
6650,request/request,450,0,,cross-referenced,2017-06-19 16:40:19,https://api.github.com/repos/request/request/issues/2455,0,request/request,2455
6646,request/request,451,0,,cross-referenced,2013-03-05 00:48:21,https://api.github.com/repos/request/request/issues/463,1,request/request,463
6637,request/request,455,0,,cross-referenced,2014-06-25 06:16:25,https://api.github.com/repos/request/request/issues/943,1,request/request,943
6638,request/request,455,0,,cross-referenced,2014-06-25 18:43:25,https://api.github.com/repos/request/request/issues/944,1,request/request,944
6641,request/request,455,0,,cross-referenced,2014-12-06 18:11:42,https://api.github.com/repos/request/request/issues/1252,0,request/request,1252
6633,request/request,458,1,,cross-referenced,2013-05-02 22:12:40,https://api.github.com/repos/request/request/issues/539,0,request/request,539
6635,request/request,458,1,,cross-referenced,2014-07-01 02:07:06,https://api.github.com/repos/request/request/issues/951,1,request/request,951
6631,request/request,464,1,,cross-referenced,2014-07-01 02:07:06,https://api.github.com/repos/request/request/issues/951,1,request/request,951
6626,request/request,465,0,,cross-referenced,2013-03-08 07:31:30,https://api.github.com/repos/request/request/issues/259,0,request/request,259
6627,request/request,465,0,,cross-referenced,2013-03-08 16:56:26,https://api.github.com/repos/request/request/issues/467,0,request/request,467
6622,request/request,467,0,,cross-referenced,2013-03-09 20:25:17,https://api.github.com/repos/request/request/issues/468,0,request/request,468
6619,request/request,469,1,,cross-referenced,2013-03-11 10:31:59,https://api.github.com/repos/request/request/issues/407,1,request/request,407
6618,request/request,471,1,,cross-referenced,2013-03-13 19:24:54,https://api.github.com/repos/request/request/issues/474,0,request/request,474
6617,request/request,474,0,,cross-referenced,2013-03-13 19:35:41,https://api.github.com/repos/request/request/issues/475,1,request/request,475
6616,request/request,476,0,,cross-referenced,2014-03-27 19:15:37,https://api.github.com/repos/request/request/issues/848,0,request/request,848
6610,request/request,488,0,,cross-referenced,2013-04-11 11:32:40,https://api.github.com/repos/request/request/issues/509,0,request/request,509
6611,request/request,488,0,,cross-referenced,2013-05-09 06:08:48,https://api.github.com/repos/request/request/issues/372,0,request/request,372
6608,request/request,496,1,,cross-referenced,2013-03-29 16:57:34,https://api.github.com/repos/request/request/issues/497,1,request/request,497
6600,request/request,516,1,,cross-referenced,2014-10-15 02:05:02,https://api.github.com/repos/request/request/issues/1166,0,request/request,1166
6597,request/request,522,0,,cross-referenced,2014-07-02 15:34:31,https://api.github.com/repos/request/request/issues/953,1,request/request,953
6595,request/request,523,1,,cross-referenced,2013-04-22 16:10:18,https://api.github.com/repos/request/request/issues/524,0,request/request,524
6594,request/request,524,0,,cross-referenced,2013-04-22 16:49:11,https://api.github.com/repos/request/request/issues/528,1,request/request,528
6592,request/request,525,1,,cross-referenced,2013-04-22 16:13:56,https://api.github.com/repos/request/request/issues/523,1,request/request,523
6593,request/request,525,1,,cross-referenced,2013-04-22 16:18:33,https://api.github.com/repos/request/request/issues/526,1,request/request,526
6590,request/request,530,0,,cross-referenced,2013-05-08 13:25:04,https://api.github.com/repos/request/request/issues/386,0,request/request,386
6591,request/request,530,0,,cross-referenced,2013-06-03 15:36:04,https://api.github.com/repos/request/request/issues/566,0,request/request,566
6589,request/request,550,0,,cross-referenced,2014-01-09 14:02:07,https://api.github.com/repos/request/request/issues/315,0,request/request,315
6586,request/request,555,0,,cross-referenced,2013-05-17 19:56:04,https://api.github.com/repos/request/request/issues/556,1,request/request,556
6587,request/request,555,0,,cross-referenced,2014-05-16 06:21:01,https://api.github.com/repos/request/request/issues/548,0,request/request,548
